Good\00003_0.bmp  1  0 0 23 23
Good\00003_1.bmp  1  0 0 22 23
Good\00004_0.bmp  1  0 0 49 52
Good\00005_0.bmp  1  0 0 112 114
Good\00006_0.bmp  1  0 0 63 64
Good\00007_0.bmp  1  0 0 39 39
Good\00008_0.bmp  1  0 0 26 26
Good\00009_0.bmp  1  0 0 24 24
Good\00011_0.bmp  1  0 0 50 60
Good\00012_0.bmp  1  0 0 55 54
Good\00013_0.bmp  1  0 0 77 75
Good\00018_0.bmp  1  0 0 31 31
Good\00019_0.bmp  1  0 0 43 42
Good\00023_0.bmp  1  0 0 76 79
Good\00026_0.bmp  1  0 0 39 40
Good\00027_0.bmp  1  0 0 55 55
Good\00027_1.bmp  1  0 0 55 55
Good\00029_0.bmp  1  0 0 42 43
Good\00053_0.bmp  1  0 0 40 39
Good\00054_0.bmp  1  0 0 29 29
Good\00056_0.bmp  1  0 0 31 31
Good\00057_0.bmp  1  0 0 46 49
Good\00060_0.bmp  1  0 0 23 23
Good\00061_0.bmp  1  0 0 61 61
Good\00063_0.bmp  1  0 0 22 22
Good\00064_0.bmp  1  0 0 22 23
Good\00065_0.bmp  1  0 0 49 50
Good\00067_0.bmp  1  0 0 30 30
Good\00069_0.bmp  1  0 0 21 21
Good\00071_0.bmp  1  0 0 28 28
Good\00071_1.bmp  1  0 0 27 26
Good\00072_0.bmp  1  0 0 22 22
Good\00073_0.bmp  1  0 0 21 20
Good\00073_1.bmp  1  0 0 22 21
Good\00073_2.bmp  1  0 0 22 22
Good\00073_3.bmp  1  0 0 20 20
Good\00075_0.bmp  1  0 0 48 47
Good\00076_0.bmp  1  0 0 26 24
Good\00077_0.bmp  1  0 0 49 47
Good\00080_0.bmp  1  0 0 51 51
Good\00085_0.bmp  1  0 0 29 29
Good\00088_0.bmp  1  0 0 26 26
Good\00088_1.bmp  1  0 0 26 26
Good\00088_2.bmp  1  0 0 24 24
Good\00088_3.bmp  1  0 0 25 24
Good\00089_0.bmp  1  0 0 29 30
Good\00089_1.bmp  1  0 0 26 27
Good\00093_0.bmp  1  0 0 35 39
Good\00093_1.bmp  1  0 0 43 50
Good\00094_0.bmp  1  0 0 49 49
Good\00094_1.bmp  1  0 0 76 76
Good\00095_0.bmp  1  0 0 21 20
Good\00101_0.bmp  1  0 0 56 55
Good\00107_0.bmp  1  0 0 39 40
Good\00109_0.bmp  1  0 0 30 29
Good\00110_0.bmp  1  0 0 25 24
Good\00111_0.bmp  1  0 0 32 32
