Good\00000_0.bmp  1  0 0 41 35
Good\00001_0.bmp  1  0 0 41 44
Good\00001_1.bmp  1  0 0 56 58
Good\00001_2.bmp  1  0 0 58 55
Good\00002_0.bmp  1  0 0 114 116
Good\00003_0.bmp  1  0 0 23 23
Good\00003_1.bmp  1  0 0 22 23
Good\00003_2.bmp  1  0 0 32 31
Good\00004_0.bmp  1  0 0 69 67
Good\00004_1.bmp  1  0 0 49 52
Good\00005_0.bmp  1  0 0 112 114
Good\00006_0.bmp  1  0 0 63 64
Good\00007_0.bmp  1  0 0 39 39
Good\00008_0.bmp  1  0 0 26 26
Good\00008_1.bmp  1  0 0 37 37
Good\00009_0.bmp  1  0 0 24 24
Good\00010_0.bmp  1  0 0 76 78
Good\00011_0.bmp  1  0 0 50 60
Good\00011_1.bmp  1  0 0 70 77
Good\00012_0.bmp  1  0 0 55 54
Good\00013_0.bmp  1  0 0 77 75
Good\00014_0.bmp  1  0 0 20 19
Good\00015_0.bmp  1  0 0 38 36
Good\00016_0.bmp  1  0 0 58 57
Good\00017_0.bmp  1  0 0 123 106
Good\00017_1.bmp  1  0 0 23 20
Good\00018_0.bmp  1  0 0 31 31
Good\00019_0.bmp  1  0 0 58 56
Good\00019_1.bmp  1  0 0 43 42
Good\00020_0.bmp  1  0 0 37 35
Good\00021_0.bmp  1  0 0 52 49
Good\00022_0.bmp  1  0 0 25 25
Good\00023_0.bmp  1  0 0 76 79
Good\00023_1.bmp  1  0 0 90 94
Good\00023_2.bmp  1  0 0 61 57
Good\00024_0.bmp  1  0 0 31 29
Good\00025_0.bmp  1  0 0 41 37
Good\00025_1.bmp  1  0 0 33 34
Good\00026_0.bmp  1  0 0 39 40
Good\00027_0.bmp  1  0 0 55 55
Good\00027_1.bmp  1  0 0 55 55
Good\00028_0.bmp  1  0 0 58 54
Good\00028_1.bmp  1  0 0 26 26
Good\00029_0.bmp  1  0 0 42 43
Good\00030_0.bmp  1  0 0 26 26
Good\00031_0.bmp  1  0 0 49 47
Good\00031_1.bmp  1  0 0 31 32
Good\00032_0.bmp  1  0 0 29 26
Good\00032_1.bmp  1  0 0 20 24
Good\00033_0.bmp  1  0 0 66 66
Good\00034_0.bmp  1  0 0 33 30
Good\00035_0.bmp  1  0 0 38 39
Good\00035_1.bmp  1  0 0 36 35
Good\00036_0.bmp  1  0 0 31 31
Good\00036_1.bmp  1  0 0 25 26
Good\00037_0.bmp  1  0 0 22 21
Good\00038_0.bmp  1  0 0 22 20
Good\00039_0.bmp  1  0 0 84 84
Good\00039_1.bmp  1  0 0 62 61
Good\00040_0.bmp  1  0 0 90 90
